In%202016%2C%20the%20United%20Kingdom%20voted%20to%20stay%20in%20the%20EU.,False
Former%20United%20States%20President%20Bill%20Clinton%20famously%20played%20which%20instrument%3F,Saxophone
Which%20of%20the%20following%20Pacific%20Islander%20countries%20is%20ruled%20by%20a%20constitutional%20monarchy%3F,Tonga
What%20are%20the%20first%20names%20of%20the%20first%20father%20and%20son%20pair%20that%20were%20both%20Prime%20Ministers%20of%20Canada%3F,Justin%20and%20Pierre
Donald%20Trump%20won%20the%20popular%20vote%20in%20the%202016%20United%20States%20presidential%20election.,False
Before%202016%2C%20in%20which%20other%20year%20did%20Donald%20Trump%20run%20for%20President%3F,2000
Who%20was%20elected%20leader%20of%20the%20UK%20Labour%20Party%20in%20September%202015%3F,Jeremy%20Corbyn
What%20was%20the%20personal%20nickname%20of%20the%2040th%20Governor%20of%20the%20US%20State%20Louisiana%2C%20Huey%20Long%3F,The%20Kingfish
Which%20U.S.%20president%20is%20said%20to%20have%20had%20the%20longest%20beard%3F,Rutherford%20B.%20Hayes
Which%20of%20these%20was%20an%20official%20candidate%20in%20the%202017%20British%20General%20Election%3F,Lord%20Buckethead
Which%20of%20the%20following%20United%20States%20senators%20is%20known%20for%20performing%20a%2024-hour%20long%20filibuster%3F,Strom%20Thurmond
Which%20former%20US%20president%20was%20nicknamed%20%22Teddy%22%20after%20he%20refused%20to%20shoot%20a%20defenseless%20black%20bear%3F,Theodore%20Roosevelt
Between%201973%20to%201990%2C%20what%20country%20was%20ruled%20by%20dictator%20Augusto%20Pinochet%3F,Chile
Which%20US%20state%20was%20the%20first%20to%20allow%20women%20to%20vote%20in%201869%3F,Wyoming
Due%20to%20the%20Nagoya%20Resolution%2C%20China%20agreed%20to%20allow%20Taiwan%20to%20compete%20separately%20in%20international%20sporting%20events%20under%20what%20name%3F,Chinese%20Taipei
How%20many%20people%20are%20in%20the%20U.S.%20House%20of%20Representatives%3F,435
The%20State%20of%20Queensland%2C%20Australia%20voted%20NO%20to%20a%20referendum%20for%20daylight%20savings%20in%201992.,True
Who%20was%20the%2040th%20President%20of%20the%20USA%3F,Ronald%20Reagan
What%20country%20saw%20a%20world%20record%20315%20million%20voters%20turn%20out%20for%20elections%20on%20May%2020%2C%201991%3F,India
Who%20succeeded%20Joseph%20Stalin%20as%20General%20Secretary%20of%20the%20Communist%20Party%20of%20the%20Soviet%20Union%3F,Nikita%20Khrushchev
The%202014%20movie%20%22The%20Raid%202%3A%20Berandal%22%20was%20mainly%20filmed%20in%20which%20Asian%20country%3F,Indonesia
Who%20is%20the%20only%20US%20president%20to%20serve%20two%20non-consecutive%20terms%20in%20office%3F,Grover%20Cleveland
There%20was%20a%20satirical%20candidate%20named%20%22Deez%20Nuts%22%20running%20in%20the%202016%20US%20presidential%20elections.,True
Which%20of%20the%20following%20United%20States%20Presidents%20served%20the%20shortest%20term%20in%20office%3F,William%20Henry%20Harrison
Which%20Native%20American%20tribe%2Fnation%20requires%20at%20least%20one%20half%20blood%20quantum%20%28equivalent%20to%20one%20parent%29%20to%20be%20eligible%20for%20membership%3F,Yomba%20Shoshone%20Tribe
Who%20was%20the%2045th%20President%20of%20the%20United%20States%3F,Donald%20Trump
Former%20president%20Theodore%20Roosevelt%20%281900-1908%29%20%20ran%20for%20another%20term%20under%20the%20Progressive%20Party%20in%201912.,True
George%20W.%20Bush%20lost%20the%20popular%20vote%20in%20the%202004%20United%20States%20presidential%20election.,False
Who%20was%20the%20longest-serving%20senator%20in%20US%20history%2C%20serving%20from%201959%20to%202010%3F,Robert%20Byrd
The%20S%20in%20Harry%20S.%20Truman%20stands%20for%20%22Samuel%22.,False
What%20is%20the%20name%20of%20Niccol%C3%B2%20Machiavelli%27s%20work%20that%20argued%20effective%20leaders%20needed%20to%20crush%20their%20opponents%20at%20all%20costs%3F,The%20Prince
In%20United%20States%20history%2C%20how%20many%20vice%20presidents%20did%20Franklin%20D.%20Roosevelt%20have%20during%20his%20time%20in%20office%20as%20president%3F,3
During%20the%202016%20United%20States%20presidential%20election%2C%20the%20State%20of%20California%20possessed%20the%20most%20electoral%20votes%2C%20having%2055.,True
Whose%202016%20presidential%20campaign%20slogan%20was%20%22Make%20America%20Great%20Again%22%3F,Donald%20Trump
Denmark%20has%20a%20monarch.,True
What%20is%20the%20primary%20purpose%20of%20the%20Fourth%20Amendment%20to%20the%20US%20Constitution%3F,Preventing%20unreasonable%20searches%20and%20seizures
Who%20became%20Prime%20Minister%20of%20the%20United%20Kingdom%20in%20July%202016%3F,Theresa%20May
What%20year%20did%20Gerald%20Ford%20Become%20President%3F,1974
What%20year%20did%20the%20effort%20to%20deploy%20the%20Common%20Core%20State%20Standards%20%28CCSS%29%20in%20the%20US%20begin%3F,2009
